FinacialYear,Area(Acre),Area(Lac_Hectare),TotalProduction(M_Ton),TotalProduction(Lac_M_Ton),YieldRate(M.ton_Hectare)
1970-71,14184320,57.4,5813430,58.13,1.013
1971-72,13525560,54.74,5696340,56.96,1.041
1972-73,14120385,57.14,5586560,55.87,0.978
1973-74,14132815,57.19,6698900,66.99,1.171
1974-75,13469030,54.51,6000000,60,1.101
1975-76,14235705,57.61,7045100,70.45,1.223
1976-77,14355050,58.09,6905680,69.06,1.189
1977-78,14101590,57.07,7423640,74.24,1.301
1978-79,14347175,58.06,7429090,74.29,1.28
1979-80,14752850,59.7,7552570,75.53,1.265
1980-81,14917885,60.37,7836840,78.37,1.298
1981-82,14853820,60.11,7094515,70.95,1.18
1982-83,14817415,59.97,7483350,74.83,1.248
1983-84,14845230,60.08,7811725,78.12,1.3
1984-85,14120530,57.15,7931075,79.31,1.388
1985-86,14907875,60.33,8539480,85.39,1.415
1986-87,14958105,60.53,8264925,82.65,1.365
1987-88,13762080,55.69,7690340,76.9,1.381
1988-89,12606385,51.02,6857185,68.57,1.344
1989-90,14094610,57.04,9202040,92.02,1.613
1990-91,14272760,57.76,9166990,91.67,1.587
1991-92,14068170,56.93,9268890,92.69,1.628
1992-93,14441290,58.44,9679710,96.8,1.656
1993-94,14211910,57.51,9429180,94.29,1.639
1994-95,13735720,55.59,8503952,85.04,1.53
1995-96,14261940,57.72,8790330,87.9,1.523
1996-97,14338539,58.03,9551780,95.52,1.646
1997-98,13545110,54.82,8272000,82.72,1.509
1998-99,12021620,48.65,7216580,72.17,1.483
1999-00,14097300,57.05,10305986,103.06,1.806
2000-01,14109890,57.1,11248930,112.49,1.97
2001-02,13954860,56.47,10726190,107.26,1.899
2002-03,14041000,56.82,11114950,111.15,1.956
2003-04,14029960,56.78,11520590,115.21,2.029
2004-05,13047212,52.8,9819617,98.2,1.86
2005-06,13415621,54.29,10810076,108.1,1.991
2006-07,13381773,54.16,10840868,108.41,2.002
2007-08,12473780,50.48,9662191,96.62,1.914
2008-09,13584625,54.98,11613169,116.13,2.112
2009-10,13992863,56.63,12207162,122.07,2.156
2010-11,13950933,56.46,12791498,127.91,2.266
2011-12,13789132,55.8,12798268,127.98,2.293
2012-13,13863261,56.1,12897210,128.97,2.299
2013-14,13665808,55.3,13023313,130.23,2.355
2014-15,13665217,55.3,13190163,131.9,2.385
