FinacialYear,Area_(Acre),Area_(Lac_Hectare), TotalProduction_(M_Ton) ,TotalProduction_(Lac_M_Ton) ,YieldRate_(M.ton_Hectare)
1970-71,7884950,31.91,2863185,28.63,0.897
1971-72,7417935,30.02,2343400,23.43,0.781
1972-73,7240795,29.3,2273070,22.73,0.776
1973-74,7681045,31.08,2802035,28.02,0.901
1974-75,7856675,31.8,2858965,28.59,0.899
1975-76,8452365,34.21,3230100,32.3,0.944
1976-77,7951745,32.18,3011435,30.11,0.936
1977-78,7814910,31.63,3103190,31.03,0.981
1978-79,7995260,32.36,3287935,32.88,1.016
1979-80,7484620,30.29,2806613,28.07,0.927
1980-81,7688580,31.12,3234610,32.35,1.04
1981-82,7774085,31.46,3217945,32.18,1.023
1982-83,7804950,31.59,3017535,30.18,0.955
1983-84,7756140,31.39,3170585,31.71,1.01
1984-85,7312435,29.59,2850028,28.5,0.963
1985-86,7030120,28.45,2827231,28.27,0.994
1986-87,7172930,29.03,3149955,31.5,1.085
1987-88,6890690,27.89,1115779,11.16,0.4
1988-89,6631144,26.84,2855965,28.56,1.064
1989-90,5590225,22.62,2487330,24.87,1.099
1990-91,5216360,21.11,2327800,23.28,1.103
1991-92,4735180,19.16,2178520,21.79,1.137
1992-93,4287230,17.35,2074890,20.75,1.196
1993-94,4076400,16.5,1850260,18.5,1.122
1994-95,4117430,16.66,1790730,17.91,1.075
1995-96,3810040,15.42,1676020,16.76,1.087
1996-97,3934720,15.92,1870750,18.71,1.175
1997-98,3867970,15.65,1874430,18.74,1.197
1998-99,3519480,14.24,1616880,16.17,1.135
1999-00,3339250,13.51,1733910,17.34,1.283
2000-01,3274770,13.25,1915600,19.16,1.445
2001-02,3069550,12.42,1807720,18.08,1.455
2002-03,3073360,12.44,1850700,18.51,1.488
2003-04,2971700,12.03,1831840,18.32,1.523
2004-05,2532130,10.25,1500470,15,1.464
2005-06,2555770,10.34,1745039,17.45,1.687
2006-07,2238805,9.06,1512325,15.12,1.669
2007-08,2270045,9.19,1506852,15.07,1.64
2008-09,2632965,10.66,1894557,18.95,1.778
2009-10,2431692,9.84,1709127,17.09,1.737
2010-11,2750015,11.13,2132821,21.33,1.916
2011-12,2812443,11.38,2332151,23.32,2.049
2012-13,2602297,10.53,2158238,21.58,2.049
2013-14,2597651,10.51,2326037,23.26,2.213
2014-15,2583303,10.45,2328090,23.28,2.227
