FinancialYear,AMANRice(Area_lac_Hectare),AUSRice(Area_lac_Hectare),BORORice(Area_Lac_Hectare),GrossArea(Area_Lac_Hectare),AMANRiceProduction(Lac_M_Ton),AUSRiceProduction(Lac_M.Ton),BORORiceProduction(LacM.Ton),TOTALProduction(LacM.Ton),AverageYeild Rate(M.Ton_Hectare)
1970-71,57.4,31.91,9.82,99.13,58.13,28.63,21.92,108.68,1.096
1971-72,54.74,30.02,8.84,93.6,56.96,23.43,17.37,97.76,1.044
1972-73,57.14,29.3,9.85,96.29,55.87,22.73,20.7,99.3,1.031
1973-74,57.19,31.08,10.5,98.77,66.99,28.02,21.2,116.21,1.177
1974-75,54.51,31.8,11.62,97.93,60,28.59,22.5,111.09,1.134
1975-76,57.61,34.21,11.48,103.3,70.45,32.3,22.85,125.6,1.216
1976-77,58.09,32.18,8.55,98.82,69.06,30.11,16.5,115.67,1.171
1977-78,57.07,31.63,10.94,99.64,74.24,31.03,22.39,127.66,1.281
1978-79,58.06,32.36,10.72,101.14,74.29,32.88,19.29,126.46,1.25
1979-80,59.7,30.29,11.41,101.4,75.53,28.07,25.37,128.97,1.272
1980-81,60.37,31.12,11.6,103.09,78.37,32.35,25.89,136.61,1.325
1981-82,60.11,31.46,13.02,104.59,70.95,32.18,31.02,134.15,1.283
1982-83,59.97,31.59,14.33,105.89,74.83,30.18,34.89,139.9,1.321
1983-84,60.08,31.39,14.01,105.48,78.12,31.71,32.97,142.8,1.354
1984-85,57.15,29.59,15.75,102.49,79.31,28.5,39.04,146.85,1.433
1985-86,60.33,28.45,15.34,104.12,85.39,28.27,36.71,150.37,1.444
1986-87,60.53,29.03,16.53,106.09,82.65,31.5,40.1,154.25,1.454
1987-88,55.69,27.89,19.63,103.21,76.9,11.16,47.31,135.37,1.312
1988-89,51.02,26.84,24.39,102.25,68.57,28.56,58.31,155.44,1.52
1989-90,57.04,22.62,25.11,104.77,92.02,24.87,67.67,184.56,1.762
1990-91,57.76,21.11,25.48,104.35,91.67,23.28,63.57,178.52,1.711
1991-92,56.93,19.16,26.35,102.44,92.69,21.79,68.04,182.52,1.782
1992-93,58.44,17.35,25.99,101.78,96.8,20.75,65.86,183.41,1.802
1993-94,57.51,16.5,25.81,99.82,94.29,18.5,65.72,178.51,1.788
1994-95,55.59,16.66,26.64,98.89,85.04,17.91,65.44,168.39,1.703
1995-96,57.72,15.42,26.03,99.17,87.9,16.76,72.21,176.87,1.784
1996-97,58.03,15.92,27.83,101.78,95.52,18.71,74.6,188.83,1.855
1997-98,54.82,15.65,28.87,99.34,82.72,18.74,81.45,182.91,1.841
1998-99,48.65,14.24,34.74,97.63,72.17,16.17,102.75,191.09,1.957
1999-00,57.05,13.51,36.52,107.08,103.06,17.34,110.27,230.67,2.154
2000-01,57.1,13.25,37.62,107.97,112.49,19.16,119.21,250.86,2.323
2001-02,56.47,12.42,37.71,106.6,107.26,18.08,117.66,243,2.28
2002-03,56.82,12.44,38.45,107.71,111.15,18.51,122.22,251.88,2.339
2003-04,56.78,12.03,39.44,108.25,115.21,18.32,128.37,261.9,2.419
2004-05,52.8,10.25,40.64,103.69,98.2,15,138.37,251.57,2.426
2005-06,54.29,10.34,40.66,105.29,108.1,17.45,139.75,265.3,2.52
2006-07,54.16,9.06,42.58,105.8,108.41,15.12,149.65,273.18,2.582
2007-08,50.48,9.19,46.08,105.75,96.62,15.07,177.62,289.31,2.736
2008-09,54.98,10.66,47.16,112.8,116.13,18.95,178.09,313.17,2.776
2009-10,56.63,9.84,47.78,114.25,122.07,17.09,183.41,322.57,2.823
2010-11,56.46,11.13,47.71,115.3,127.91,21.33,186.17,335.41,2.909
2011-12,55.8,11.38,48.1,115.28,127.98,23.32,187.59,338.89,2.94
2012-13,56.1,10.53,47.6,114.23,128.97,21.58,187.78,338.33,2.962
2013-14,55.3,10.51,47.91,113.72,130.23,23.26,190.07,343.56,3.021
2014-15,55.3,10.45,48.4,114.15,131.9,23.28,191.92,347.1,3.041
