Element,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aman_Rice,48.34,49.53,51.36,52.6,53.35,51.69,56.36,55.53,58.78,57.4,54.74,57.14,57.19,54.51,57.61,58.09,57.07,58.06,59.7,60.37,60.11,59.97,60.08,57.15,60.33,60.53,55.69,51.02,57.04,57.76,56.93,58.44,57.51,55.59,57.72,58.03,54.82,48.65,57.05,57.1,56.47,56.82,56.78,52.8,54.29,54.16,50.48,54.98,56.63,56.46,55.8,56.1,55.3,55.3,,,,,
AUS_Rice,28.8,29.5,30.6,31.38,31.82,30.8,33.62,33.12,35.06,31.91,30.02,29.3,31.08,31.8,34.21,32.18,31.63,32.36,30.29,31.12,31.46,31.59,31.39,29.59,28.45,29.03,27.89,26.84,22.62,21.11,19.16,17.35,16.5,16.66,15.42,15.92,15.65,14.24,13.51,13.25,12.42,12.44,12.03,10.25,10.34,9.06,9.19,10.66,9.84,11.13,11.38,10.53,10.51,10.45,,,,,
Boro_Rice,7.66,7.87,8.14,8.32,8.43,8.21,8.91,8.77,9.3,9.82,8.84,9.85,10.5,11.62,11.48,8.55,10.94,10.72,11.41,11.6,13.02,14.33,14.01,15.75,15.34,16.53,19.63,24.39,25.11,25.48,26.35,25.99,25.81,26.64,26.03,27.83,28.87,34.74,36.52,37.62,37.71,38.45,39.44,40.64,40.66,42.58,46.08,47.16,47.78,47.71,48.1,47.6,47.91,48.4,,,,,
Gross_Area,84.8,86.9,90.1,92.3,93.6,90.7,98.89,97.42,103.14,99.12,99.13,93.6,96.29,98.77,97.93,103.3,98.82,99.64,101.14,101.4,103.09,104.59,105.89,105.48,102.49,104.12,106.09,103.21,102.25,104.77,104.35,102.44,101.78,99.82,98.89,99.17,101.78,99.34,97.63,107.08,107.97,106.6,107.71,108.25,103.69,105.29,105.8,105.75,112.8,114.25,115.3,115.28,114.23,113.72,114.15,116.15,115.15,115.16,115.17
Aman_Production,78.54,72.44,86.76,85.77,85.75,78.2,91.23,92.64,98.04,58.13,56.96,55.87,66.99,60,70.45,69.06,74.24,74.29,75.53,78.37,70.95,74.83,78.12,79.31,85.39,82.65,76.9,68.57,92.02,91.67,92.69,96.8,94.29,85.04,87.9,95.52,82.72,72.17,103.06,112.49,107.26,111.15,115.21,98.2,108.1,108.41,96.62,116.13,122.07,127.91,127.98,128.97,130.23,131.9,,,,,
AUS_Production,37.4,34.49,41.31,40.84,40.83,37.23,43.44,44.12,46.68,28.63,23.43,22.73,28.02,28.59,32.3,30.11,31.03,32.88,28.07,32.35,32.18,30.18,31.71,28.5,28.27,31.5,11.16,28.56,24.87,23.28,21.79,20.75,18.5,17.91,16.76,18.71,18.74,16.17,17.34,19.16,18.08,18.51,18.32,15,17.45,15.12,15.07,18.95,17.09,21.33,23.32,21.58,23.26,23.28,,,,,
Boro_Production,14.97,12.59,16.53,14.91,14.9,13.59,15.85,16.1,17.01,21.92,17.37,20.7,21.2,22.5,22.85,16.5,22.39,19.29,25.37,25.89,31.02,34.89,32.97,39.04,36.71,40.1,47.31,58.31,67.67,63.57,68.04,65.86,65.72,65.44,72.21,74.6,81.45,102.75,110.27,119.21,117.66,122.22,128.37,138.37,139.75,149.65,177.62,178.09,183.41,186.17,187.59,187.78,190.07,191.92,,,,,
Total_Production,130.91,120.73,144.6,142.95,142.92,130.33,152.05,154.4,163.4,108.68,97.76,99.3,116.21,111.09,125.6,115.67,127.66,126.46,128.97,136.61,134.15,139.9,142.8,146.85,150.37,154.25,135.37,155.44,184.56,178.52,182.52,183.41,178.51,168.39,176.87,188.83,182.91,191.09,230.67,250.86,243,251.88,261.9,251.57,265.3,273.18,289.31,313.17,322.57,335.41,338.89,338.33,343.56,347.1,420.1,407.83,441.36,443.79,445.33
Average_Yield_Rate,1.54,1.39,1.6,1.55,1.526,1.436,1.537,1.584,1.589,1.096,1.044,1.031,1.177,1.134,1.216,1.171,1.281,1.25,1.272,1.325,1.283,1.321,1.354,1.433,1.444,1.454,1.312,1.52,1.762,1.711,1.782,1.802,1.788,1.703,1.784,1.855,1.841,1.957,2.154,2.323,2.28,2.339,2.419,2.426,2.52,2.582,2.736,2.776,2.823,2.909,2.94,2.962,3.021,3.041,3.68,3.511,3.832,3.853,3.866
Temperature,25.18,25.16,25.28,25.44,25.16,25.49,25.1,25.49,25.37,25.27,24.68,25.19,25.28,24.98,25.16,25.28,24.98,25.07,25.82,25.42,25.04,25.22,25.2,25.25,25.53,25.41,25.73,25.79,25.44,25.41,25.08,24.93,24.93,25.29,25.58,25.5,25.04,25.79,25.95,25.12,25.85,25.6,25.58,25.63,25.86,26.18,25.89,25.68,26.43,26.31,25.69,25.2,25.13,25.4,25.26,25.73,25.5,25.11,25.44
Rainfall,211.68,179.08,189.57,209.28,198.27,177.89,181.23,210.46,189.28,220.73,177.08,143.15,212.16,223.93,185.38,191.5,197.12,190.85,190.22,183.89,216.07,178.98,224.23,243.75,186.48,201.47,220.88,228.15,165.15,215.78,218.03,145.13,221.39,149.68,195.57,178.98,183.21,212.39,212.65,198.38,191.23,195.17,181.96,187.24,168.35,160.65,207.14,181.65,165.63,187.23,164.19,166.01,168.59,150.19,211.87,176.64,228.56,151.89,169.11
